#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
x|K;&c]P~E	TopicCloze	Active::ProgrammingGeneral::Windows	Type {{c1::cmd}} in file broswer's {{c2::address bar}} to open a cmd in that directory	win				<div>&nbsp;Windows: Type cmd in file broswer to open a cmd in that directory</div>	ToCards_01_03_25.odt
lfz-`?yV-<	ExCloze	Active::ProgrammingGeneral::Misc	Each char in a {{c2::monospace font}} has {{c1::the same width}}&nbsp;	"<div>
<br>
</div>
<pre>In monospace fonts (where each character hath the same width), 1em approximately representeth the width of one character, so 26em would roughly correspond to 26 characters. However:

    In proportional fonts (like Arial or Times New Roman), character widths vary, and 1em reflects the size of the font rather than a precise number of characters.
</pre>"	ToCards_01_17_25.odt				
qAHUn4T?Ho	ExCloze	Active::ProgrammingGeneral::Misc	{{c2::Proportional font}} chars {{c1::vary in width}}	"<div>
<br>
</div>
<pre>In monospace fonts (where each character hath the same width), 1em approximately representeth the width of one character, so 26em would roughly correspond to 26 characters. However:

    In proportional fonts (like Arial or Times New Roman), character widths vary, and 1em reflects the size of the font rather than a precise number of characters.
</pre>"	ToCards_01_17_25.odt				
tWXewwLv5,	ExCloze	Active::ProgrammingGeneral::Misc	What I’ve learned from JD's {{c1::ability system}}'<br>“{{c3::classes as methods}} {{c2::combined with their params}}”	<pre>JD’s ability system taught me to use “classes as methods combined with their params”</pre>	ToCards_01_17_25.odt				
qhsNa7E-EM	ExCloze	Active::LangGeneral	"{{c1::""Homorganic""}} speech sounds are produced at the {{c2::same place of articulation}}"	"<pre>""Homorganic"" meaneth that two speech sounds art produced with the same place of articulation in the mouth. For example, the sounds /m/, /p/, and /b/ art homorganic, as they art all made with both lips (bilabial sounds).</pre>"	ToCards_01_17_25.odt				
mUV}00?cmJ	ExCloze	Active::LangGeneral	A {{c1::relative clause}} modifies {{c2::a noun}} or a {{c2::noun phrase}}.	A relative clause modifies a noun or a noun phrase.	ToCards_01_17_25.odt				
qZK!8RkIKD	ExCloze	Active::ValyParent::Notes	HV word order {{c1::SOV}} generally	"Dont have to do all this but<br><br>

High Valyrian is a strongly head-final language, and word order is subject–object–verb (SOV). Thus, in general, verbs follow their direct objects and adverbs which modify them; nouns follow the adjectives, demonstratives, possessors (genitive modifiers), locative modifiers, adpositional phrases and relative clauses which modify them; possessees follow possessors; adjectives follow the adverbs and adpositions which modify them; and most adpositions are postpositions, with only a few prepositions occuring.
"	ToCards_01_17_25.odt				
hIOPK|T6b$	TopicCloze	Active::ValyParent::Notes	The {{c1::“past participle”}} is actually the {{c2::passive past participle}}	HV				"HV
<br>The “past participle” is actually the “passive past participle”"	ToCards_01_18_25.odt
"jnkYb#$gW;"	ExCloze	Active::ValyParent::Notes	HV Wiki: {{c1::(Conj. By Tense)}}'s {{c2::Past habitual}} {{c3::1<sup>st</sup>}}&nbsp;person {{c3::plural}}<br>&nbsp;ending looks like {{c4::i?}}<br>&nbsp;when I think it should be {{c5::iti}}<br>&nbsp;Conj verb tables have it as {{c5::iti}}	"In Conj. By tense Past habitual 1<sup>st</sup> person plural ending looks like

i? when I think it should be iti

Conj verb tables have it as iti"	ToCards_01_19_25.odt				
O+8I%6Ec-j	ExCloze	Active::ValyParent::Notes	HV Wiki: there are {{c1::hidden pages}} that {{c2::difficult to find}}<br><br>Like {{c3::Non-Canonical Vocabulary}}	"On the wiki there are a lot of hidden pages that aren’t easy to find

like<br>
<br>
https://wiki.languageinvention.com/index.php?title=User:Juelos/High_Valyrian_Non-Canonical_Vocabulary"	ToCards_01_19_25.odt				
o49?+qs.>i	TopicCloze	Active::ValyParent::Notes	Valy is strongly head {{c1::final}}	HV				"Dont have to do all this but<br><br>

High Valyrian is a strongly head-final language, and word order is subject–object–verb (SOV). Thus, in general, verbs follow their direct objects and adverbs which modify them; nouns follow the adjectives, demonstratives, possessors (genitive modifiers), locative modifiers, adpositional phrases and relative clauses which modify them; possessees follow possessors; adjectives follow the adverbs and adpositions which modify them; and most adpositions are postpositions, with only a few prepositions occuring.
"	ToCards_01_17_25.odt
d;6Oh(q6vl	TopicCloze	Active::ValyParent::Notes	In general<br>(Noun modifier) {{c1::preceeds}} the noun	HV				"Dont have to do all this but<br><br>

High Valyrian is a strongly head-final language, and word order is subject–object–verb (SOV). Thus, in general, verbs follow their direct objects and adverbs which modify them; nouns follow the adjectives, demonstratives, possessors (genitive modifiers), locative modifiers, adpositional phrases and relative clauses which modify them; possessees follow possessors; adjectives follow the adverbs and adpositions which modify them; and most adpositions are postpositions, with only a few prepositions occuring.
"	ToCards_01_17_25.odt
MquJ9gO$SL	TopicCloze	Active::ValyParent::Notes	In general<br>(Adj modifier) {{c1::preceeds}} the adj	HV				"Dont have to do all this but<br><br>

High Valyrian is a strongly head-final language, and word order is subject–object–verb (SOV). Thus, in general, verbs follow their direct objects and adverbs which modify them; nouns follow the adjectives, demonstratives, possessors (genitive modifiers), locative modifiers, adpositional phrases and relative clauses which modify them; possessees follow possessors; adjectives follow the adverbs and adpositions which modify them; and most adpositions are postpositions, with only a few prepositions occuring.
"	ToCards_01_17_25.odt
pj$N&qpgK`	ExCloze	Active::ToDoGeneral	I should learn {{c1::kanji now}} as an {{c2::investment}}.<br>Better to learn it {{c3::before}} you want to learn the language	I should leran kanji now as an investment. Better to learn it before you actually want to learn the language then during.	ToCards_01_19_25.odt				
uf`qxZD6]>	TopicCloze	Active::ProgrammingGeneral::git	"<span class=""code"">git cherry-pick 5401030..main</span><br><br>{{c1::1<sup>st</sup> commit}}&nbsp;is {{c2::NOT included}}"	git				"<pre>git cherry-pick 5401030..main<br>
<br>
When cherry picking multiple commits like this the 1<sup>st</sup> commit is NOT included</pre>"	ToCards_01_22_25.odt
z+t0wv37ew	TopicCloze	Active::ProgrammingGeneral::git	"<span class=""code"">git cherry-pick 5401030^..main</span><br><br> {{c1::The carrot}} {{c2::includes}} the 1<sup>st</sup> commit<br>"	git				"<div>
<br>
git cherry-pick 5401030<b>^</b>..main<br>
<br>
</div>
<pre>with the carrot includes the 1<sup>st</sup> commit
</pre>"	ToCards_01_23_25.odt
hZI@YfycWT	TopicCloze	Active::ProgrammingGeneral::git	"<span class=""code"">git {{c3::revert}} 5401030^..main</span><br><br>{{c3::revert}} works {{c1::backwards}} starts at {{c2::main}} then goes to 5401030"	git				"<pre>git revert 5401030^..main<br>
<br>
revert works backwards

</pre>"	ToCards_01_23_25.odt
J82>xIK0^L	TopicCloze	Active::ProgrammingGeneral::Python	{{c1::*}} is the {{c2::unpacking operator}} in python	py				<pre><br>* is the unpacking operator in python</pre>	ToCards_01_23_25.odt
bCwGZ&NYQI	TopicCloze	Active::ProgrammingGeneral::Python	"How to send kwargs to the sub method?<br><br><span class=""code"">def sp_open(file, mode, <b>**kwargs</b>) -&gt; IO[Any]:<br>  return sub_method(file, {{c1::**kwargs}})</span><br>"	py				"def sp_open(file, mode, **kwargs) -&gt; IO[Any]:
    if (mode == ""seq""):
        return open_avoid_overwrite(file, [..])

I want to send kwargs to the sub method how do?
ans **kwargs"	ToCards_01_23_25.odt
k_4SwP_69;	TopicCloze	Active::ProgrammingGeneral::Python	"<span class=""code"">some_dict.get(""encoding"", None)</span><br>Get from {{c1::dictionary}} with {{c2::default value}}&nbsp;"	py				"<pre>kwargs.get(""encoding"", None)

Get from dictionary with default value python

</pre>"	ToCards_01_22_25.odt
I^8p,7CW0l	TopicCloze	Active::ProgrammingGeneral::Python	"<span class=""code"">letters = [chr(x) for x in range(97, 123)]</span><br><br>{{c1::(do this)}} for {{c2::(each thing)}} in <br>{{c3::(range)}} then {{c4::make it a list}}"	py				"letters = [chr(x) for x in range(97, 123)]

(do this) for (each thing) in (range) then make it a list"	ToCards_01_22_25.odt
m>@Edd>u4i	TopicCloze	Active::ProgrammingGeneral::Python	"<span class=""code"">my_funct(*someTuple)</span><br><br>using {{c1::a tuple}} as the {{c2::*args}} for a function"	py				"<pre>my_funct(<b>*</b>someTuple)

usinga tuple as the *args for a function</pre>"	ToCards_01_22_25.odt
JNxauRd8M/	TopicCloze	"Active::ProgrammingGeneral::C#"	"{{c1::Enumerable.Range}} without the namespace {{c2::in front}}<br><br>
<span class=""code"">{{c5::using}} {{c3::System.Linq}};<br>foreach (var i in {{c4::Range}}(0, 13)) {</span>"	"C#"				"Using System.Linq;
foreach (var i in Range(0, 13))
{

Enumerable.Range <b>without</b> the namespace."	ToCards_01_23_25.odt
O8[XYaL+7=	TopicCloze	"Active::ProgrammingGeneral::C#"	"C#'s equivilant to python’s {{c2:: range()}}<br><br>
<span class=""code"">{{c1::Enumerable.Range}}</span>"	"C#"				"c#’s equivilant to python’s range<br>
Enumerable.Range"	ToCards_01_23_25.odt
q.y5^!N1n`	TopicCloze	Active::ProgrammingGeneral::Python	"{{c1::extends list::Does?}} w/ {{c3::another list::Does?}}<br><br><span class=""code"">mylist1.{{c2::extend}}(some_other_list)
</span>"	py				"python extend a list with a different list<br>
<br>
mylist1.extend(some_other_list)"	ToCards_01_23_25.odt
Qv9}he_nIn	TopicCloze	Active::ProgrammingGeneral::Python	"{{c4::for-in loop}}<br><br><span class=""code"">for {{c1::x}} {{c2::in}} {{c3::range(10)}}</span>"	py				"simple python for loop

for I in range(10)"	ToCards_01_23_25.odt
j:E_+*9w(5	TopicCloze	"Active::ProgrammingGeneral::C#"	"{{c5::split::Does?}} filename and ext<br><br><span class=""code"">using Sytem.IO.Path;<br>var filePath = ""example.txt"";<br>var fileName = Path.<br>&nbsp; {{c3::GetFileNameWithoutExtension}}(filePath); //{{c2::“example”}}<br>var extension = Path.{{c4::GetExtension}}(filePath); // {{c1::“.txt”}}</span>"	"C#"				"c# split filename and extension
<br><br>using Sytem.IO.Path
<br><br>var filePath = ""example.txt"";
<br>var fileName = Path.GetFileNameWithoutExtension(filePath); // “example”
<br>var extension = Path.GetExtension(filePath); // “.txt”"	ToCards_01_23_25.odt
N74cy;:d.L	TopicCloze	"Active::ProgrammingGeneral::C#"	"<span class=""code"">string string text = ""hello world"";<br>{{c3::string[]}} res = text.{{c1::Split();}}<br>&nbsp;// Splits into {{c2::{“hello”, “world”} }}</span>"	"C#"				"C# split string
<br> <br>string text = ""hello world"";
<br>string[] parts = text.Split(); // Splits into {“hello”, “world”}"	ToCards_01_23_25.odt
p/,dg]n.xy	TopicCloze	"Active::ProgrammingGeneral::C#"	"<span class=""code"">// v Example of method with {{c1::unlimited args}} v<br><br>void PrintArgs({{c2::params}} object{{c3::[]}} args) {<br>&nbsp; foreach (var arg in args) {&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>&nbsp;&nbsp;&nbsp; Console.WriteLine(arg);</span>"	"C#"				"C#"	ToCards_01_23_25.odt
l9t;J.Pme;	TopicCloze	"Active::ProgrammingGeneral::C#"	"{{c2::Directive}} example.<br>Creates a {{c1:: Dictionary}} w/ new keyword {{c6::GenDict}}<br><br><span class=""code"">{{c3::using}} GenDict =<br>{{c5::System.Collections.Generic.Dictionary}}&lt;string, object&gt;;</span><br>But, doesn't support {{c4::generic types}}. No {{c4::Dictionary&lt;T, T2&gt;}}"	"C#"				"C# Directive example. Can create a Dict with new keyword GenDict
<br>using GenDict = System.Collections.Generic.Dictionary&lt;string, object&gt;;
<br> <br>But, it don’t not support generic type aliases in using directives.
<br>No Dictionary&lt;T, T2&gt;"	ToCards_01_23_25.odt
K3|U/70t~|	TopicCloze	"Active::ProgrammingGeneral::C#"	"alternative to {{c1::directive aliases}} is to just {{c3::inherit}}<br><br>Dictionary to Dict:<br><span class=""code"">public {{c2::class Dict&lt;T, T2&gt; : Dictionary&lt;T, T2&gt; { } }}</span>"	"C#"				"alternative to directive aliases for classes<br>
public class Dict&lt;T, T2&gt; : Dictionary&lt;T, T2&gt; { }"	ToCards_01_23_25.odt
QqYu3kN%T1	TopicCloze	"Active::ProgrammingGeneral::C#"	I think that {{c1::inheritance}} only changes the {{c2::V-table}} of an object	"C#"				"C# I think that inheritance only changes the V-table of an object"	ToCards_01_23_25.odt
I7di-dilTt	TopicCloze	"Active::ProgrammingGeneral::C#"	"There {{c3::2}} types of directives<br>{{c3::<ul><li>#region - {{c1::Preprocessor directive}}</li><li>using newAlias = …; - {{c2::Directive}}</li></ul>}}"	"C#"				"#region – Preprocessor directive
using newAlias = …; - directive"	ToCards_01_23_25.odt
E)u4X<}yZ$	TopicCloze	"Active::ProgrammingGeneral::C#"	{{c1::///}} in {{c3::VSCode}} will {{c2::auto comment out next line}}<br>when you press enter	"C#"				"c# /// will automatically comment out the next line when you press enter"	ToCards_01_23_25.odt
sq5%,LxlrN	TopicCloze	"Active::ProgrammingGeneral::C#"	"You can kinda read <span class=""code"">IEnumerable.{{c1::Select}}</span> as {{c2::“for”}}"	"C#"				You can kinda read Ienumerable.Select as “for”	ToCards_01_23_25.odt
xN2}C{P/)|	ExCloze	Active::ProgrammingGeneral	An {{c1::iterator}}/ {{c2::enumerable}} is a {{c3::collection}}<br>where each {{c4::ele doesn’t exist}} until {{c5::asked for}}	An iterator/ enumerable is a collection of things where each element doesn’t yet exist until asked of&lt;	ToCards_01_23_25.odt				
P7.`HB_!e9	ExCloze	Active::UsingAnki	srs interval modifier formula<br><br>{{c1::log}}({{c2::desired retention%!c3}})/ {{c1::log}}({{c3::current retention%!c2}})<br>{{c4::%s as decimals}}	srs interval modifier formula<br>log(desired retention%) / log(current retention%) decimals	ToCards_01_23_25.odt				
k5/T:SWru9	ExCloze	Active::math	Simply {{c1::multiplying}} {{c4::elements of 2 vectors}} together is the<br>{{c2::Hadamard product?}} or {{c3::element-wise product}}	"<pre>Hadamard product or element wise product. Simply multiply the elements of the vectors together

</pre>"	ToCards_01_24_25.odt				
wujEQQW/jx	ExCloze	Active::ProgrammingGeneral::git	git {{c1::“branches”}} are just aliases for {{c2::a particular commit}}	"
git “branches” are just aliases for commit
"	ToCards_01_24_25.odt				
eN9=yzbQ;;	TopicCloze	Active::ProgrammingGeneral::git	Amending commit. {{c5::Use with caution}}<br><ul><li>git {{c2::commit}} {{c1::–amend}}</li><li>git {{c3::push}} {{c4::–force}}</li></ul>				ul	"
git commit –amend<br>git push –force
"	ToCards_01_24_25.odt
A/QiazrTS?	TopicCloze	Active::ValyParent::Notes	{{c1::Ins Passive}}<br><ul><li>Add {{c3::s-}} to: {{c2::vl. stops (p, t, k, or q)}}</li></ul><br>	Ins Pass.	1			"<div>To form the instrumental passive…</div>
<ul>
<li>Add <em>s-</em> to verbs beginning with <em>p</em>, <em>t</em>, <em>k</em>, or <em>q</em>.</li>
<li>Add <em>z-</em> to verbs beginning with <em>b</em>, <em>d</em>, <em>g</em>, <em>l</em>, or <em>r</em> (note that the sequence <em>zr</em> becomes <em>j</em>).</li>
<li>Add <em>h-</em> to verbs beginning with any vowel <em>except</em> <em>e</em> and <em>o</em>.</li>
<li>Add <em>a-</em> to verbs beginning with anything else.</li></ul>"	HV_tips_and_tricks
e3:0!?xEZ]	TopicCloze	Active::ValyParent::Notes	{{c1::Ins passive}}<br><ul><li>Add {{c4::z-}} to: {{c2::v'd stops/ liquid (b, d, g, l, r)}}<br>{{c3::(zr becomes j) !c1!c2}}<br></li></ul><br>	Ins Pass.	1			"<div>To form the instrumental passive…</div>
<ul>
<li>Add <em>s-</em> to verbs beginning with <em>p</em>, <em>t</em>, <em>k</em>, or <em>q</em>.</li>
<li>Add <em>z-</em> to verbs beginning with <em>b</em>, <em>d</em>, <em>g</em>, <em>l</em>, or <em>r</em> (note that the sequence <em>zr</em> becomes <em>j</em>).</li>
<li>Add <em>h-</em> to verbs beginning with any vowel <em>except</em> <em>e</em> and <em>o</em>.</li>
<li>Add <em>a-</em> to verbs beginning with anything else.</li></ul>"	HV_tips_and_tricks
lHqR9/;w}	TopicCloze	Active::ValyParent::Notes	{{c1::Ins Passive}}<br><ul><li>Add {{c3::h-}} to: {{c2::vowels,}} {{c4::not (e, o)!c2}}</li></ul>	Ins Pass.	1			"<div>To form the instrumental passive…</div>
<ul>
<li>Add <em>s-</em> to verbs beginning with <em>p</em>, <em>t</em>, <em>k</em>, or <em>q</em>.</li>
<li>Add <em>z-</em> to verbs beginning with <em>b</em>, <em>d</em>, <em>g</em>, <em>l</em>, or <em>r</em> (note that the sequence <em>zr</em> becomes <em>j</em>).</li>
<li>Add <em>h-</em> to verbs beginning with any vowel <em>except</em> <em>e</em> and <em>o</em>.</li>
<li>Add <em>a-</em> to verbs beginning with anything else.</li></ul>"	HV_tips_and_tricks
E/4L*)bsTW	TopicCloze	Active::ValyParent::Notes	{{c1::Ins Passive}}<br><ul><li>Add {{c3::a-}} to: {{c2::anything else}}</li></ul>	Ins Pass.	1			"<div>To form the instrumental passive…</div>
<ul>
<li>Add <em>s-</em> to verbs beginning with <em>p</em>, <em>t</em>, <em>k</em>, or <em>q</em>.</li>
<li>Add <em>z-</em> to verbs beginning with <em>b</em>, <em>d</em>, <em>g</em>, <em>l</em>, or <em>r</em> (note that the sequence <em>zr</em> becomes <em>j</em>).</li>
<li>Add <em>h-</em> to verbs beginning with any vowel <em>except</em> <em>e</em> and <em>o</em>.</li>
<li>Add <em>a-</em> to verbs beginning with anything else.</li></ul>"	HV_tips_and_tricks
x3g(7T/}6!	TopicCloze	Active::ValyParent::Notes	"{{c1::Loc Applicative}}<br><ul><li style=""text-align: justify;"">{{c3::Replace}} {{c4::h-}} {{c3::with}}: {{c2::v}}</li></ul>"	Loc App.	1			"<div>To form the locative applicative…</div>
<ul>
<li>Replace the <em>h</em> at the beginning of a verb with <em>v</em>.</li>
<li>Add <em>v-</em> to verbs beginning with any vowel other than <em>e</em> or <em>ē</em>.</li>
<li>Add <em>u-</em> to all other verbs.</li></ul>"	HV_tips_and_tricks
cuA~dYdTS-	TopicCloze	Active::ValyParent::Notes	{{c1::Loc Applicative}}<br><ul><li>{{c3::Add}} {{c4::v-}} {{c3::to}}: {{c2::vowels}} {{c5::not (e, ē)!c2}}</li></ul>	Loc App.	1			"<div>To form the locative applicative…</div>
<ul>
<li>Replace the <em>h</em> at the beginning of a verb with <em>v</em>.</li>
<li>Add <em>v-</em> to verbs beginning with any vowel other than <em>e</em> or <em>ē</em>.</li>
<li>Add <em>u-</em> to all other verbs.</li></ul>"	HV_tips_and_tricks
C6g|qp7jz	TopicCloze	Active::ValyParent::Notes	{{c1::Loc Applicative}}<br><ul><li>{{c3::Add}} {{c4::u-}} {{c3::to}}: {{c2::anything else}}</li></ul>	Loc App.	1			"<div>To form the locative applicative…</div>
<ul>
<li>Replace the <em>h</em> at the beginning of a verb with <em>v</em>.</li>
<li>Add <em>v-</em> to verbs beginning with any vowel other than <em>e</em> or <em>ē</em>.</li>
<li>Add <em>u-</em> to all other verbs.</li></ul>"	HV_tips_and_tricks
gE0ZFzFx]P	TopicCloze	Active::ValyParent::Notes	{{c1::Oblique Applicative}}<br><ul><li>{{c3::Replace}} {{c4::h-}} {{c3::with}}: {{c2::j}}</li></ul>	Obl. App.	1			"<div>To form the oblique applicative…</div>
<ul>
<li>Replace the <em>h</em> at the beginning of a verb with <em>j</em>.</li>
<li>Add <em>j-</em> to verbs beginning with <em>i</em>, <em>ī</em>, <em>u</em>, <em>ū</em>, <em>y</em>, <em>ȳ</em>, or any diphthong.</li>
<li>Add <em>i-</em> to all other verbs.</li></ul>"	HV_tips_and_tricks
Er<<jF%CQf	TopicCloze	Active::ValyParent::Notes	{{c1::Oblique Applicative}}<br><ul><li>{{c3::Add}} {{c5::j-}} {{c3::to}}: {{c2::long/ short i, u, y}} {{c4::and diphthongs!c2}}</li></ul>	Obl. App.	1			"<div>To form the oblique applicative…</div>
<ul>
<li>Replace the <em>h</em> at the beginning of a verb with <em>j</em>.</li>
<li>Add <em>j-</em> to verbs beginning with <em>i</em>, <em>ī</em>, <em>u</em>, <em>ū</em>, <em>y</em>, <em>ȳ</em>, or any diphthong.</li>
<li>Add <em>i-</em> to all other verbs.</li></ul>"	HV_tips_and_tricks
